name,smiles,Tox-score,SAscore
TCM002389,COc1cc([C@H]2Oc3c(ccc4c3CCc3cc(O)cc(OC)c3-4)[C@@H]2COC(C)=O)c(CNCC2CCCCC2)cc1O,0.2771863838352102,0.04978491396321337
TCM002399,COc1cc([C@H]2Oc3c(ccc4c3[C@@H](Cc3ccccc3)Cc3cc(O)cc(OC)c3-4)[C@@H]2COC(C)=O)ccc1O,0.3502679125434854,0.05104187237357038
TCM002578,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@]1(O)[C@H](O)C[C@](O)(C(=O)O)C[C@H]1OC(=O)C1=Cc2cc(O)c(O)cc2CC1,0.3836427186352694,0.02612272642580312
TCM002590,COc1cc2c(c3c1-c1cc(CC(C)C)c(O)cc1CC3)C[C@@H](O)[C@H](c1ccc3c(c1)O[C@@H]1CCCC[C@@H]1CC#CO3)O2,0.3674636646820252,0.01347952623913038
TCM002644,CNC[C@]1(OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)C[C@](O)(C(=O)O)C[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1,0.35244191269502617,0.030140107913338512
TCM002740,Cc1cc(O)c2c(c1)C(=O)c1c(c3c4c5c(nccc15)NC[C@@H](O)C/C=C/[C@]1(CO)O[C@@](CC4)(O3)[C@H](O)[C@@H](O)[C@@H]1O)C2=O,0.3953929223450834,0.0021048454327599175
TCM002757,Cc1cc(O)c2c(c1)C(=O)c1c(c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc3c(NC[C@H](O)C4CCCC4)nccc13)C2=O,0.28472244883477177,0.03143729443400035
TCM002758,Cc1cc(O)c2c(c1)C(=O)c1c(c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc3c(O)nccc13)C2=O,0.40389091468546984,0.04050475167684816
TCM002887,CNC(=N)N[C@@H](CCO)c1c(C)cc2c(c1O)C(=O)c1c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(OC)cc1C2=O,0.35431665709139293,0.025517368870112956
TCM002909,COc1cc(O[C@@H]2O[C@H](CO)[C@](O)(CCc3ccnc(N)c3)[C@H](O)[C@H]2O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,0.3241474693291042,0.031253309804367684
TCM003078,Oc1ccc(/C=C/c2c(CCc3ccc(CNCC4(c5c[nH]cn5)CCCC4)cc3)c(O)c(O)c3c(O)cccc23)cc1O,0.2503421296062498,0.08529914988121289
TCM003082,Oc1ccc(/C=C/c2c(CCc3ccc(CNC4CCOCC4)cc3)c(O)c(O)c3c(O)cccc23)cc1O,0.3101852389819565,0.13822414965836874
TCM003095,Oc1cc2c3c(c1O)CC[C@@H]1CCC[C@]31CC(c1cc(O)c(O)c3c(O)cccc13)=C2,0.5189568448738207,0.029802897290836593
TCM003096,Oc1ccc(/C=C/c2c(CCc3ccc(CNC4CCCCC4)cc3)c(O)c(O)c3c(O)cccc23)cc1O,0.29319137496393,0.15111067146815968
TCM003101,Oc1cc2c(cc1O)[C@H](Cc1cccc3ccccc13)CC(c1cc(O)c(O)c3c(O)cccc13)=C2,0.4730645442297643,0.0870946642013671
TCM003105,CCCCCc1cc(CCc2c(O)c(O)c3c(O)cccc3c2/C=C/c2ccc(O)c(O)c2)ccc1CNC,0.34283643290296184,0.13081057889641634
TCM003113,Oc1ccc(/C=C/c2cc(O)c(O)c3c(O)cccc23)cc1O,0.6455291479327573,0.21393685269740623
TCM003115,Oc1cc2c(cc1O)C[C@@H]1C=Cc3c(ccc(O)c3O)C1=C2,0.5864398178519743,0.06277076231189907
TCM003121,CCCCCc1cccc(CCc2c(/C=C/c3ccc(O)c(O)c3)ccc(O)c2O)c1,0.520590697619451,0.21750724705904184
TCM003240,O=C(Oc1c(CO)[nH]c2ccc3cc4ccccc4cc3c12)[C@@H]1O[C@@]2(O)[C@]3(O)C[C@@H](O)C[C@]3(CO)C=C[C@@]2(O)[C@H]1O,0.3925078901841521,0.01346615424304241
TCM003290,CCN[C@@H]1CC[C@](O)([C@]2(O)O[C@@H](C(=O)Oc3c[nH]c4ccc5cc6ccccc6cc5c34)[C@H](O)[C@H]2O)C1,0.3149673052118491,0.02657985440516031
TCM003311,CNCC[C@H](C)CCc1ccc2[nH]cc(OC(=O)[C@@H]3O[C@@](O)(CO)[C@H](O)[C@H]3O)c2c1,0.2683288155225273,0.037036046044253895
TCM003315,CCc1ccc2[nH]c(CO)c(OC(=O)[C@@H]3O[C@@](O)(CO)[C@H](O)[C@H]3O)c2c1,0.29791476034340975,0.038932201484432986
TCM003322,NC(N)=NCCCc1cccc2[nH]cc(OC(=O)[C@@H]3O[C@@](O)(CO)[C@H](O)[C@H]3O)c12,0.3067007093976114,0.039363220477781256
TCM003328,O=C(Oc1c[nH]c2ccccc12)[C@@H]1O[C@@](O)(CO)[C@H](O)[C@H]1OCc1ccccc1,0.3580844084159194,0.06216087441612572
